study_hours_per_week,attendance_rate,previous_gpa,sleep_hours,parental_support,extracurricular,part_time_job,gender,final_score
3.3,83.5,2.28,8.5,Medium,Yes,No,Male,78.1
8.7,99.5,3.86,7.3,Low,Yes,Yes,Male,90.9
10.7,80.4,3.14,10.0,High,Yes,No,Female,100.0
12.3,96.3,3.19,7.2,Low,No,Yes,Female,89.2
12.8,78.6,2.85,6.6,Medium,No,Yes,Female,94.0
13.2,,2.91,7.0,Low,Yes,No,Male,99.8
8.6,74.3,3.48,7.3,Medium,No,No,Female,95.9
8.2,89.6,2.98,7.6,Medium,No,No,Male,91.3
13.4,99.5,3.27,9.7,High,Yes,No,Female,100.0
9.2,84.2,2.9,5.9,Medium,No,No,Female,89.2
4.9,83.0,2.83,8.1,Medium,No,No,Male,82.1
5.5,73.9,2.3,7.3,Low,No,No,Male,74.9
6.3,82.7,2.01,5.0,Low,Yes,No,Female,84.4
12.0,69.1,2.87,8.0,Medium,No,No,Male,89.4
10.6,75.9,3.03,8.6,Medium,Yes,No,Male,97.8
12.8,87.3,2.36,5.9,Medium,Yes,No,Female,99.3
8.3,98.2,2.98,7.0,High,No,No,Female,100.0
10.6,100.0,3.03,4.8,Medium,No,No,Male,98.3
12.5,79.1,1.92,5.4,High,No,No,Female,98.2
8.8,99.4,2.54,8.4,Medium,Yes,No,Male,95.5
11.8,87.4,3.2,6.4,High,Yes,No,Male,100.0
7.4,83.5,3.19,5.6,Medium,Yes,No,Male,84.9
8.5,89.3,2.42,7.3,Medium,Yes,No,Male,80.3
8.5,85.6,3.08,6.3,High,Yes,No,Female,100.0
5.2,86.1,3.51,6.4,Medium,No,No,Female,92.8
11.9,80.9,3.39,8.0,High,No,No,Male,100.0
8.1,71.0,2.95,5.5,Medium,No,Yes,Male,83.1
10.0,69.6,2.77,5.8,Low,Yes,No,Male,96.0
11.9,91.5,2.69,7.2,Medium,Yes,No,Male,99.3
11.8,82.2,3.23,8.3,Medium,No,No,Female,100.0
12.7,79.0,3.1,8.6,High,Yes,Yes,Female,100.0
9.6,85.1,3.31,6.1,High,No,No,Male,100.0
8.3,92.9,3.07,8.2,Low,Yes,No,Female,92.6
9.7,86.8,3.41,6.0,Low,No,Yes,Male,89.5
3.3,78.4,3.05,9.4,Low,No,No,Male,71.0
4.2,97.3,3.39,5.5,Medium,No,No,Female,97.6
4.7,100.0,3.44,8.7,Low,No,No,Male,91.7
6.0,89.9,2.6,6.1,Medium,No,Yes,Female,87.5
11.6,94.7,2.1,9.6,Medium,Yes,Yes,Male,100.0
6.4,97.4,3.77,7.8,High,No,No,Male,100.0
8.5,,3.13,5.7,Medium,No,Yes,Female,84.3
15.2,91.1,2.14,6.3,Medium,No,No,Female,100.0
8.6,91.0,2.64,8.0,Low,No,No,Female,85.5
13.0,90.2,3.39,8.4,High,Yes,Yes,Female,100.0
6.3,74.0,2.86,6.9,Low,No,No,Male,81.2
9.2,92.0,2.74,7.1,Low,No,No,Male,89.5
6.2,71.4,3.7,8.0,Low,Yes,No,Male,82.2
8.6,77.1,2.48,7.2,High,Yes,No,Female,100.0
13.4,98.0,2.6,5.3,Low,Yes,No,Male,100.0
3.1,93.4,3.11,5.9,Medium,No,Yes,Female,82.6
11.7,99.9,3.2,7.3,Medium,Yes,Yes,Male,100.0
11.0,82.3,3.25,8.6,High,Yes,No,Female,100.0
7.6,73.5,3.46,9.1,Low,Yes,No,Male,90.8
4.2,82.6,3.1,8.0,Low,No,Yes,Female,84.6
10.3,86.0,3.24,7.4,Medium,Yes,Yes,Male,99.5
7.9,85.8,2.87,8.0,Low,Yes,No,Female,94.1
10.9,96.3,3.03,6.1,Medium,No,Yes,Male,100.0
10.1,81.4,3.05,6.8,Medium,Yes,No,Female,98.3
16.4,88.5,3.11,5.9,Medium,No,No,Female,100.0
9.0,75.1,3.39,5.4,Low,No,No,Female,97.5
5.9,89.5,3.28,7.4,Medium,No,Yes,Female,88.2
10.7,85.0,3.02,7.2,Low,No,Yes,Female,95.3
10.9,77.5,2.6,7.9,Medium,Yes,No,Male,97.6
15.4,82.6,3.03,7.7,Low,Yes,No,Female,100.0
13.3,83.2,2.99,7.3,High,Yes,Yes,Male,100.0
11.4,82.3,3.1,7.7,Medium,Yes,No,Female,99.2
15.9,100.0,4.0,6.9,Low,Yes,No,Female,100.0
5.2,84.0,2.74,7.5,Low,No,Yes,Female,74.5
7.4,82.6,3.21,6.1,Medium,Yes,No,Male,89.8
6.3,64.0,3.53,7.5,Low,Yes,Yes,Male,86.3
8.4,76.1,3.05,7.9,Low,No,No,Male,95.4
4.5,82.4,4.0,6.1,High,No,Yes,Male,94.8
12.5,78.1,2.81,7.1,Medium,Yes,No,Female,87.0
9.1,98.8,3.16,6.2,Low,Yes,No,Female,100.0
4.1,83.4,2.6,6.3,Medium,Yes,No,Male,81.1
5.9,97.9,2.82,5.5,Medium,Yes,No,Male,93.5
11.3,85.6,3.12,8.6,High,No,No,Male,100.0
13.4,85.4,3.42,8.4,Low,No,No,Female,100.0
18.0,84.1,3.16,7.7,Medium,No,No,Male,100.0
21.7,,3.63,9.6,High,No,Yes,Female,100.0
11.7,100.0,2.95,6.8,Low,No,No,Male,100.0
6.0,61.8,2.83,10.0,Low,No,Yes,Female,75.2
1.5,65.0,4.0,6.7,Medium,Yes,No,Male,88.9
11.1,79.6,3.2,7.3,High,Yes,No,Male,100.0
6.7,85.1,2.64,6.5,Medium,No,No,Male,91.4
8.3,91.9,2.65,7.5,Medium,No,No,Female,84.9
7.6,89.7,2.53,8.1,High,Yes,No,Female,100.0
9.4,81.2,3.47,6.9,High,Yes,Yes,Male,97.5
14.3,95.2,2.82,9.3,Medium,Yes,Yes,Male,100.0
10.6,95.3,3.06,7.3,Medium,Yes,No,Female,97.7
9.4,86.8,2.97,7.4,Medium,No,Yes,Male,88.3
5.9,94.6,3.37,5.8,Medium,No,Yes,Male,100.0
3.3,87.7,2.58,7.5,High,No,No,Male,81.5
8.1,79.4,2.46,6.8,Low,Yes,No,Female,92.5
9.8,92.0,3.11,6.2,Low,Yes,No,Male,96.8
17.1,86.1,3.3,6.0,High,No,No,Female,100.0
10.5,85.0,3.17,10.0,Medium,No,No,Male,96.0
13.9,99.7,2.6,6.7,Low,Yes,Yes,Female,94.6
8.0,60.5,3.34,5.1,Low,Yes,No,Male,85.1
5.3,70.8,2.63,6.1,Medium,No,No,Female,75.8
6.1,73.1,2.74,6.9,High,No,No,Female,86.1
7.1,81.4,2.53,7.7,Low,No,No,Male,89.7
18.5,82.5,3.65,7.7,Low,No,No,Male,100.0
6.7,69.9,3.32,7.9,Medium,No,Yes,Male,79.6
13.4,75.1,3.3,6.2,High,No,No,Male,100.0
6.4,76.4,3.62,7.4,Medium,Yes,Yes,Male,91.7
13.7,100.0,4.0,5.9,High,No,No,Female,100.0
11.5,100.0,2.15,6.2,High,No,Yes,Female,100.0
9.4,80.9,2.63,5.8,Medium,Yes,Yes,Female,89.5
9.8,81.4,2.69,5.5,High,No,No,Female,88.9
7.4,73.5,2.57,8.4,Medium,Yes,No,Female,96.8
11.8,65.9,2.46,7.9,Medium,Yes,No,Male,93.4
8.2,83.8,2.85,8.3,Medium,Yes,Yes,Male,91.0
5.1,75.0,2.39,7.1,High,No,No,Male,82.7
4.9,84.2,3.17,8.0,High,No,Yes,Female,95.1
10.7,69.0,3.03,4.7,High,No,Yes,Male,89.7
16.3,77.4,3.24,8.1,High,No,No,Male,100.0
10.6,86.5,3.25,7.2,Medium,No,Yes,Female,94.6
9.5,88.7,3.3,7.8,High,No,No,Male,100.0
11.1,89.2,2.81,7.5,High,No,Yes,Male,100.0
15.2,71.8,4.0,5.7,Low,Yes,Yes,Male,100.0
10.9,93.5,3.12,5.1,Low,No,No,Male,100.0
8.4,77.0,2.07,6.1,Medium,No,Yes,Male,86.7
14.4,91.3,2.5,7.7,High,No,No,Male,100.0
11.7,84.9,2.13,7.9,Medium,Yes,No,Female,95.3
16.1,71.2,3.01,5.2,Medium,No,Yes,Male,100.0
10.7,81.8,2.94,5.7,Low,No,No,Female,88.1
5.1,88.7,2.77,6.1,Medium,Yes,Yes,Male,85.7
4.5,91.1,4.0,6.5,Medium,No,No,Male,95.3
16.6,83.6,3.27,5.2,Low,Yes,Yes,Male,95.8
16.9,100.0,3.36,5.2,High,Yes,No,Female,100.0
9.3,95.1,2.53,5.9,Low,Yes,No,Female,90.8
8.5,82.4,2.5,7.1,High,No,No,Male,98.5
15.8,92.5,3.02,5.5,Low,No,No,Female,95.1
5.6,100.0,3.09,6.8,High,Yes,No,Male,95.4
6.4,100.0,2.07,8.4,Medium,No,No,Male,85.5
12.6,72.7,2.91,5.3,Low,Yes,No,Female,98.9
8.4,75.7,3.01,6.7,Low,No,No,Female,88.0
10.0,99.8,2.89,8.3,Low,No,No,Male,100.0
9.3,74.4,2.59,6.5,Medium,No,No,Male,93.0
11.4,71.8,2.73,6.3,High,No,Yes,Male,92.2
15.6,80.1,2.91,8.5,Medium,No,No,Female,100.0
10.4,89.2,3.05,6.6,Medium,No,No,Male,96.4
12.6,84.0,3.3,8.4,Medium,Yes,No,Female,100.0
1.8,78.5,3.54,7.6,Medium,Yes,Yes,Female,76.9
9.8,78.3,2.85,6.6,Medium,Yes,No,Male,90.6
6.6,77.9,2.77,7.6,Medium,No,Yes,Male,88.2
5.1,76.2,3.22,7.4,Medium,No,No,Female,93.6
6.5,100.0,3.31,8.3,High,No,No,Male,87.5
8.7,88.0,2.78,6.3,Medium,Yes,Yes,Female,99.2
13.7,93.9,3.4,7.1,Low,Yes,No,Female,100.0
4.7,80.1,3.49,6.9,Low,No,Yes,Female,74.3
10.1,,3.65,7.9,Medium,No,No,Male,85.6
8.1,77.9,3.89,5.7,Medium,Yes,No,Male,89.0
8.7,58.5,2.57,8.3,High,Yes,No,Male,89.1
14.0,71.2,3.01,7.6,Medium,Yes,No,Male,100.0
12.2,66.9,3.01,5.3,Medium,No,Yes,Female,95.1
15.3,62.5,2.95,8.6,High,Yes,No,Male,100.0
9.4,73.0,2.68,9.9,Medium,Yes,No,Female,84.3
7.2,98.2,2.26,8.3,High,No,Yes,Female,89.1
9.1,84.6,3.05,8.9,Low,Yes,No,Female,92.8
11.0,97.9,2.62,7.1,Medium,Yes,No,Female,100.0
10.7,89.1,3.04,4.8,High,Yes,No,Female,97.2
5.7,92.8,2.6,4.6,High,No,No,Male,93.0
10.4,76.0,2.45,7.3,High,No,No,Female,92.0
10.9,90.2,3.12,6.2,Medium,Yes,No,Female,96.5
20.1,92.3,3.08,5.8,High,Yes,Yes,Male,100.0
17.5,79.2,3.29,6.9,Medium,No,No,Male,100.0
6.6,90.6,4.0,7.8,Medium,No,No,Female,97.5
8.9,90.7,3.14,5.1,Low,Yes,Yes,Male,87.6
4.1,79.5,3.24,6.4,Low,Yes,No,Male,88.6
7.6,73.8,2.46,9.0,Medium,Yes,Yes,Female,95.4
11.3,73.2,2.36,5.6,Low,No,No,Female,88.5
14.8,85.9,3.79,8.1,Medium,No,No,Female,100.0
7.1,88.3,2.54,6.4,High,No,No,Female,96.9
7.4,77.1,2.48,7.7,High,Yes,Yes,Female,86.6
1.4,85.3,2.98,8.4,Low,No,No,Female,77.8
9.3,90.7,2.95,8.0,High,No,No,Female,93.3
5.8,91.2,2.55,8.2,Low,Yes,No,Female,85.1
7.9,100.0,2.85,5.5,Medium,Yes,No,Female,92.2
6.5,97.8,3.61,8.4,High,Yes,No,Female,99.2
9.6,75.0,2.6,5.9,Low,No,No,Female,83.0
3.0,100.0,2.3,7.3,Low,No,No,Female,79.5
4.1,79.7,3.47,7.3,Low,No,No,Male,87.7
18.5,95.4,3.25,7.6,Medium,No,Yes,Female,100.0
4.9,85.7,2.69,7.4,High,Yes,No,Female,81.4
5.6,80.9,2.21,5.9,Low,Yes,No,Female,76.4
17.3,66.9,2.63,5.2,Low,Yes,No,Female,91.9
21.6,83.3,2.97,8.1,Medium,No,No,Female,100.0
5.3,69.4,3.58,7.2,Low,No,No,Male,87.6
8.5,94.7,2.48,8.5,Medium,Yes,Yes,Male,93.5
11.4,100.0,2.96,6.9,High,Yes,No,Male,100.0
16.9,77.0,3.34,5.2,High,No,No,Male,100.0
6.1,88.0,1.81,8.3,High,No,No,Male,83.5
9.0,77.7,3.52,6.5,Medium,No,No,Male,89.9
13.1,78.7,2.41,7.4,High,Yes,No,Male,100.0
11.7,92.7,3.17,6.2,Low,No,No,Male,100.0
8.5,84.6,3.12,9.1,Low,No,No,Female,95.0
9.5,100.0,3.54,5.9,Medium,No,No,Female,98.3
4.5,80.2,3.28,6.6,Low,No,No,Male,89.6
9.0,95.0,1.81,7.1,High,No,Yes,Female,89.0
8.9,86.0,2.61,5.6,Medium,No,No,Female,94.2
10.9,93.0,3.07,7.4,High,No,No,Female,100.0
7.8,80.5,2.9,9.1,Medium,No,No,Male,88.5
11.9,84.5,3.24,6.4,Medium,Yes,No,Female,90.0
14.1,83.8,3.39,7.5,Medium,No,No,Male,100.0
10.6,76.6,3.3,3.4,Low,No,No,Male,90.7
11.4,91.6,2.89,6.9,Medium,Yes,No,Male,99.6
10.2,91.5,2.08,6.6,Medium,Yes,No,Female,100.0
10.0,90.9,2.77,5.9,High,No,Yes,Male,90.7
7.1,100.0,3.21,8.4,Medium,No,No,Female,93.1
11.3,99.5,2.45,6.6,Low,No,No,Female,91.2
9.6,81.3,3.32,6.8,Medium,No,No,Female,93.8
18.4,88.7,3.45,6.5,Medium,No,Yes,Male,100.0
16.3,78.8,3.06,4.5,Low,No,No,Male,100.0
11.5,85.2,1.47,5.5,Medium,Yes,No,Male,86.5
6.9,79.0,2.36,8.2,Medium,Yes,No,Female,83.4
5.6,100.0,3.94,4.3,Low,No,Yes,Male,84.0
14.8,88.6,2.73,6.0,Medium,Yes,No,Female,100.0
11.1,82.8,2.01,6.5,Low,No,No,Male,94.0
11.9,96.9,3.62,9.3,Medium,No,Yes,Female,100.0
3.0,63.3,3.01,8.0,Low,No,Yes,Female,66.7
13.7,64.9,3.55,6.3,Medium,Yes,Yes,Female,93.7
11.8,93.0,3.14,8.7,Low,No,No,Female,99.8
5.6,85.6,3.23,6.0,High,Yes,Yes,Female,94.3
8.1,87.5,3.18,8.3,Low,No,No,Male,81.3
11.1,71.7,3.35,5.2,Medium,Yes,No,Female,95.1
10.2,84.8,4.0,8.4,Medium,No,No,Female,100.0
8.8,100.0,3.49,6.5,Low,No,No,Female,96.5
9.6,93.2,2.21,5.7,Medium,Yes,No,Male,100.0
9.0,86.7,3.22,6.7,High,Yes,Yes,Male,100.0
10.6,80.6,3.57,7.4,High,No,No,Female,98.1
15.9,,3.6,6.4,Medium,Yes,Yes,Female,100.0
0.0,63.7,2.79,7.7,Low,Yes,Yes,Female,68.2
9.1,87.6,3.58,6.2,Medium,No,No,Male,93.4
10.7,93.5,3.46,7.8,Medium,No,Yes,Male,96.2
11.2,69.2,4.0,7.6,Low,No,Yes,Male,100.0
8.5,78.4,2.62,6.9,High,Yes,No,Female,89.6
3.0,73.4,2.75,6.4,Medium,No,No,Female,84.3
11.3,75.3,2.85,7.2,Medium,No,Yes,Female,91.7
16.9,85.5,2.75,7.7,Medium,No,No,Male,100.0
3.9,64.2,2.55,9.7,Medium,No,No,Male,78.5
13.5,91.1,1.62,8.2,Low,Yes,No,Female,91.4
8.7,92.5,2.78,8.3,High,Yes,Yes,Female,99.9
9.8,82.5,3.18,10.0,Low,No,No,Male,81.1
5.8,60.2,2.75,7.7,High,Yes,No,Female,88.5
8.7,75.0,3.97,7.6,High,No,Yes,Male,86.7
15.2,97.3,3.01,7.9,Medium,Yes,Yes,Male,100.0
12.3,57.2,3.65,5.7,Low,Yes,Yes,Female,97.0
16.9,81.5,3.13,6.4,Medium,Yes,No,Female,100.0
14.7,73.2,3.41,6.3,Medium,No,Yes,Female,95.4
11.8,93.0,3.14,7.8,Medium,No,No,Female,97.0
17.0,78.2,3.68,6.8,High,Yes,No,Female,100.0
11.8,89.0,3.03,7.2,Medium,Yes,Yes,Female,100.0
13.3,90.7,3.25,8.4,High,Yes,No,Female,99.4
8.8,100.0,3.18,8.1,Low,No,Yes,Female,94.2
10.3,83.0,2.86,6.8,Medium,Yes,Yes,Male,96.6
7.2,88.8,3.2,6.1,Low,No,No,Female,88.3
14.0,70.1,4.0,8.5,Medium,Yes,No,Male,100.0
5.3,96.9,2.86,8.0,Low,Yes,No,Female,89.9
13.1,77.4,3.21,4.9,Medium,No,No,Female,96.4
9.2,79.4,3.63,6.6,High,No,Yes,Female,88.5
14.7,,3.57,7.2,Medium,Yes,No,Female,100.0
13.0,69.4,3.01,8.0,Low,No,Yes,Male,88.4
17.3,87.3,1.81,8.2,Low,Yes,No,Male,98.6
12.9,94.7,3.26,7.4,Medium,Yes,No,Male,100.0
3.7,87.9,1.89,7.8,Medium,Yes,No,Male,88.3
9.7,69.1,3.73,7.1,Low,No,No,Female,93.5
5.3,83.8,3.08,6.1,Medium,No,No,Female,90.1
7.9,92.4,3.5,6.7,Low,Yes,No,Female,88.6
16.0,66.2,2.55,7.0,Medium,No,Yes,Male,99.4
12.6,74.3,2.22,7.0,Medium,No,Yes,Male,91.5
7.2,93.8,3.13,4.5,Low,No,Yes,Female,92.8
5.9,87.7,2.98,6.5,Low,No,No,Female,83.6
10.1,89.1,2.75,7.1,Low,No,No,Male,92.3
5.1,100.0,3.04,6.6,Low,No,Yes,Female,91.7
7.3,89.7,4.0,6.7,Medium,Yes,No,Female,99.6
11.2,91.6,3.42,7.6,High,No,No,Female,100.0
14.6,100.0,3.52,5.6,High,No,Yes,Male,100.0
12.4,82.9,3.42,4.9,Medium,No,No,Male,95.1
0.8,77.0,3.74,6.5,Medium,No,No,Female,81.7
11.2,89.3,2.9,8.0,Medium,Yes,No,Female,100.0
10.3,89.4,1.97,9.2,High,No,No,Male,95.0
11.7,79.7,2.91,8.0,Low,Yes,No,Male,95.3
16.5,74.7,3.41,5.1,Medium,No,No,Female,100.0
1.7,100.0,2.52,6.7,Medium,Yes,No,Male,82.6
7.6,88.3,2.91,7.3,Low,Yes,No,Male,86.0
12.4,77.7,2.65,7.2,Medium,No,No,Female,100.0
3.7,94.2,3.75,7.7,High,No,No,Male,94.3
15.9,83.9,3.37,5.8,High,No,No,Female,100.0
11.5,82.5,3.33,7.1,Low,No,Yes,Female,94.1
13.4,90.6,3.31,7.5,Medium,Yes,Yes,Male,100.0
7.7,72.1,2.98,8.1,Medium,No,No,Male,86.8
13.3,88.5,3.1,6.0,Medium,Yes,No,Female,96.5
14.3,100.0,2.41,6.6,Medium,No,No,Female,100.0
10.9,89.7,1.91,3.5,Low,No,No,Female,83.7
10.9,81.2,3.08,6.2,High,Yes,Yes,Male,100.0
11.1,79.9,3.16,6.3,High,No,Yes,Male,92.5
6.5,80.9,3.6,5.7,Medium,No,No,Female,88.6
9.4,82.5,3.79,7.2,Medium,Yes,Yes,Male,94.9
9.4,81.2,3.78,6.9,Medium,No,No,Female,100.0
11.5,94.2,2.5,4.1,Medium,No,No,Female,90.8
14.0,67.7,2.82,7.3,Low,Yes,No,Male,100.0
5.8,93.6,3.24,5.8,Medium,No,No,Female,96.0
9.5,81.2,4.0,7.6,Low,Yes,No,Male,99.0
15.9,88.8,3.74,5.3,High,Yes,No,Male,100.0
7.0,73.7,3.56,7.0,Medium,No,Yes,Male,83.1
6.7,98.3,2.81,6.6,Medium,Yes,No,Female,98.2
10.8,97.5,2.56,7.4,Medium,Yes,No,Female,94.2
13.4,94.6,3.39,7.2,High,No,Yes,Female,100.0
10.0,69.9,2.45,6.7,Low,Yes,No,Male,88.3
15.3,93.3,2.88,5.0,Low,No,No,Female,100.0
13.4,89.0,2.94,5.1,Low,No,Yes,Male,98.5
13.4,68.9,3.8,6.2,Medium,Yes,No,Female,99.4
12.2,84.8,2.82,7.0,High,No,No,Male,97.6
19.3,88.6,1.78,6.2,Low,Yes,No,Male,100.0
9.2,90.6,3.25,7.8,High,No,No,Female,98.2
2.0,86.8,2.65,6.6,Medium,Yes,No,Male,67.9
16.4,87.9,3.02,5.7,Medium,No,No,Female,100.0
8.2,99.7,2.96,6.6,Low,Yes,No,Male,89.7
10.4,97.3,2.86,7.3,Medium,No,Yes,Male,100.0
15.2,56.3,3.4,7.4,Medium,Yes,Yes,Female,100.0
3.6,81.8,2.23,9.4,Medium,Yes,No,Male,79.6
5.0,83.4,2.74,6.1,Low,No,No,Female,86.6
3.6,67.5,3.34,6.9,High,No,Yes,Male,84.4
6.8,85.9,2.69,7.6,High,No,No,Female,100.0
11.8,97.5,2.2,7.0,Medium,Yes,No,Female,94.3
12.1,74.1,3.33,6.3,Medium,Yes,No,Male,100.0
11.1,88.4,3.56,5.0,High,Yes,No,Male,100.0
4.3,75.8,2.98,6.3,Low,Yes,No,Female,80.8
0.8,78.3,2.02,5.6,High,No,No,Female,79.5
10.2,99.8,3.35,4.8,Medium,No,No,Male,98.0
8.1,79.6,2.17,6.0,High,No,Yes,Male,97.0
11.8,89.6,3.15,5.6,Low,Yes,No,Male,100.0
12.8,66.3,2.56,7.8,Medium,No,Yes,Male,94.1
10.6,,2.42,7.8,Medium,No,No,Male,96.9
13.0,,2.78,5.8,Medium,Yes,Yes,Male,100.0
10.9,83.2,2.91,6.7,High,No,No,Female,94.0
12.1,90.8,2.68,4.6,High,Yes,No,Female,95.0
7.2,70.9,3.29,6.4,Low,Yes,Yes,Male,91.8
9.3,96.8,2.78,7.5,Medium,No,No,Female,98.9
10.8,81.8,3.49,8.1,Medium,Yes,Yes,Female,98.5
13.3,83.0,3.14,6.1,Medium,No,No,Female,100.0
8.4,80.1,2.65,8.4,Medium,Yes,No,Female,79.6
12.1,79.2,2.57,5.0,High,Yes,No,Female,97.5
8.9,91.9,2.18,5.4,High,Yes,No,Female,90.3
9.5,87.6,3.15,7.9,Low,Yes,No,Male,100.0
13.3,91.5,2.82,9.2,Medium,No,No,Male,100.0
2.0,84.9,1.81,7.6,Medium,Yes,No,Female,80.0
4.8,90.1,2.73,6.9,Medium,No,No,Female,88.9
4.1,80.8,2.55,4.1,Low,No,No,Male,68.3
0.7,100.0,3.79,4.4,Medium,Yes,Yes,Female,87.6
7.3,,2.15,7.2,Medium,Yes,No,Male,91.2
13.0,97.6,2.28,6.5,Low,No,Yes,Male,100.0
8.9,98.7,3.55,5.6,High,No,No,Female,100.0
10.8,76.5,3.68,7.1,Medium,No,No,Female,91.7
14.4,100.0,2.63,7.1,Medium,Yes,No,Male,100.0
15.3,95.0,2.68,8.2,Medium,No,Yes,Female,100.0
9.7,94.7,3.31,7.2,High,No,Yes,Female,100.0
15.4,85.3,1.84,8.6,Low,Yes,No,Male,97.3
10.4,82.8,2.07,7.0,Low,Yes,Yes,Male,86.5
6.7,82.9,2.86,6.9,Medium,No,No,Female,94.2
7.6,88.9,3.77,8.4,Medium,Yes,No,Female,93.5
4.1,99.0,2.78,5.7,Medium,Yes,No,Male,83.0
6.4,86.8,3.05,10.0,High,Yes,Yes,Male,86.0
8.6,75.9,3.57,7.5,Low,No,No,Male,91.0
13.2,93.2,4.0,7.5,Low,No,No,Female,100.0
16.9,94.2,2.71,7.7,Medium,Yes,No,Female,100.0
4.5,91.5,2.99,9.4,High,No,Yes,Female,86.7
11.6,,3.91,8.0,High,No,Yes,Male,100.0
5.8,82.3,2.24,4.9,Medium,Yes,No,Male,87.3
11.9,75.7,3.51,8.8,Medium,No,No,Male,99.5
9.5,76.3,2.49,6.6,Medium,Yes,No,Male,96.8
2.7,68.6,3.05,7.1,Medium,Yes,Yes,Male,78.4
13.7,87.4,2.88,5.3,Low,No,No,Female,98.1
7.6,84.2,2.52,7.7,Medium,No,Yes,Male,84.8
7.9,80.6,2.51,6.2,High,Yes,Yes,Male,90.2
5.7,55.4,3.14,7.1,Medium,No,No,Male,86.1
7.4,72.5,3.5,6.6,Medium,No,No,Female,89.3
